Although software testing can determine the correctness of software under the assumption of some specific hypotheses (see the hierarchy of testing difficulty below), testing cannot identify all the defects within the software.	儘管軟體測試能夠在針對某些特定假設的預設情況下判定軟體的正確性 (請見下方的測試難度層級)，但仍舊無法識別出軟體內的所有缺陷。
Instead, it furnishes a criticism or comparison that compares the state and behavior of the product against test oracles—principles or mechanisms by which someone might recognize a problem.	軟體測試反而會針對測試判定準則 (可用來找出問題的原則或機制) 比較產品的狀態及行為，或是提出評論。
These oracles may include (but are not limited to) specifications, contracts, comparable products, past versions of the same product, inferences about intended or expected purpose, user or customer expectations, relevant standards, applicable laws, or other criteria.	這些判定準則可包含 (但不限於) 規格、契約、可相互比較的產品、同一項產品的過往版本、關於預定或預期目的的推論、使用者或客戶的期望、相關標準、適用法規或是其他準則。
A primary purpose of testing is to detect software failures so that defects may be discovered and corrected.	測試的主要目的在於偵測出軟體錯誤，以便找出並修正缺陷。
Testing cannot establish that a product functions properly under all conditions, but only that it does not function properly under specific conditions.	測試並無法確保產品能在所有環境條件下正常運作，僅能確知產品會在特定的環境條件下無法正常運作。
The scope of software testing often includes the examination of code as well as the execution of that code in various environments and conditions as well as examining the aspects of code: does it do what it is supposed to do and do what it needs to do.	軟體測試的範圍通常會包括程式碼檢測與檢驗該程式碼在各種環境和條件下的執行情況，以及檢驗程式碼的各個層面：其是否能做到該做且必須做到的事項。
In the current culture of software development, a testing organization may be separate from the development team.	在目前的軟體研發文化中，專責測試的組織會和研發團隊區分開來。
There are various roles for testing team members.	測試團隊的成員身兼多職。
Information derived from software testing may be used to correct the process by which software is developed.	經由軟體測試取得的資訊可用來修正軟體的研發過程。
Every software product has a target audience.	每一項軟體產品都有各自的目標受眾。
For example, the audience for video game software is completely different from banking software.	例如，電玩遊戲的受眾就和銀行軟體的受眾截然不同。
Therefore, when an organization develops or otherwise invests in a software product, it can assess whether the software product will be acceptable to its end users, its target audience, its purchasers and other stakeholders.	因此，組織能夠在研發或投資軟體產品時，評估其終端使用者、目標受眾、購買者和其他利害關係人是否能接受該項軟體產品。
Software testing aids the process of attempting to make this assessment.	軟體測試能在嘗試完成評估的過程中助上一臂之力。
Not all software defects are caused by coding errors.	並非所有軟體缺陷都是因程式碼錯誤所導致。
One common source of expensive defects is requirement gaps, i.e., unrecognized requirements that result in errors of omission by the program designer.	其中一個常見且代價昂貴的缺陷根源為需求差異，即程式設計者並未注意到且導致不慎省略掉的需求。
Requirement gaps can often be non-functional requirements such as testability, scalability, maintainability, performance, and security.	會產生差異的需求通常是非功能性需求，例如可測試性、可擴展性、可維護性、效能表現和安全性。
Software faults occur through the following processes.	軟體故障會透過下列程序發生。
A programmer makes an error (mistake), which results in a defect (fault, bug) in the software source code.	程式設計師有所疏失 (犯錯)，導致軟體的原始碼出現缺陷 (故障、漏洞)。
If this defect is executed, in certain situations the system will produce wrong results, causing a failure.	如果系統執行了這項缺陷，就會在某些狀況下產生錯誤結果，導致故障失常。
Not all defects will necessarily result in failures.	並非所有缺陷一定都會導致故障失常。
For example, defects in the dead code will never result in failures.	例如在無作用的程式碼中的缺陷就不會導致故障失常。
A defect can turn into a failure when the environment is changed.	當環境有所變動時，缺陷可能就會造成故障失常。
Examples of these changes in environment include the software being run on a new computer hardware platform, alterations in source data, or interacting with different software.	環境變動的例子包括在新的電腦硬體平台上執行軟體、原始資料有所改變，或是與不同的軟體產生互動。
A single defect may result in a wide range of failure symptoms.	單一缺陷可能會導致各種不同的故障徵兆。
A fundamental problem with software testing is that testing under all combinations of inputs and preconditions (initial state) is not feasible, even with a simple product.	軟體測試有個根本問題為無法實際結合各種輸入內容及前置條件 (初始狀態) 來進行測試，即便是簡單的產品也難以實行。
This means that the number of defects in a software product can be very large and defects that occur infrequently are difficult to find in testing.	這表示軟體產品中的缺陷數量可能極為龐大，且難以透過測試找出並未經常發生的缺陷。
More significantly, non-functional dimensions of quality (how it is supposed to be versus what it is supposed to do)—usability, scalability, performance, compatibility, reliability—can be highly subjective; something that constitutes sufficient value to one person may be intolerable to another.	其中更為顯著的是，諸如可用性、可擴展性、效能表現、可相容性、可靠性等非功能性的品質構面 (預期樣貌相對於預期功能) 可能具有高度主觀差異—讓某人認為具有充分價值的事物，可能會讓另一個人感到難以忍受。
Software developers can't test everything, but they can use combinatorial test design to identify the minimum number of tests needed to get the coverage they want.	軟體研發人員無法測試完所有項目，但是他們可以使用組合測試設計來確認達到預期覆蓋範圍所需的最少測試次數。
Combinatorial test design enables users to get greater test coverage with fewer tests.	組合測試設計能讓使用者得以透過更少的測試次數達到更為寬廣的測試覆蓋範圍。
Whether they are looking for speed or test depth, they can use combinatorial test design methods to build structured variation into their test cases.	無論他們是要尋求速戰速決或是要測試深度，都可以在他們的測試案例中使用組合測試設計方式來打造出結構完整的變體。
A study conducted by NIST in 2002 reports that software bugs cost the U.S. economy $59.5 billion annually.	據美國國家標準暨技術研究院於 2002 年進行的研究報告指出，軟體漏洞每年在美國耗費了 595 億美元的經濟收入。
More than a third of this cost could be avoided, if better software testing was performed.	如果能執行更優質的軟體測試，就能免除超過三分之一的開銷。
Outsourcing software testing because of costs is very common, with China, the Philippines and India being preferred destinations.	為了節省開銷而將軟體測試外包的情形十分常見，中國、菲律賓和印度均為首選目的地。
Software testing can be done by dedicated software testers.	軟體測試可交由技巧嫻熟的軟體測試人員來進行。
Until the 1980s, the term "software tester" was used generally, but later it was also seen as a separate profession.	直到 1980 年代，「軟體測試人員」一詞曾被廣泛使用，不過後來也被當成一項獨立職業。
Regarding the periods and the different goals in software testing, different roles have been established, such as test manager, test lead, test analyst, test designer, tester, automation developer, and test administrator.	考量到軟體測試過程中的不同階段和目標，不同的的職務角色應運而生，例如測試經理、測試主管、測試分析師、測試設計師、測試人員、自動化研發人員及測試管理員等。
Software testing can also be performed by non-dedicated software testers.	軟體測試也可以交由非專職的軟體測試人員來執行。
Glenford J. Myers initially introduced the separation of debugging from testing in 1979.	Glenford J. Myers 於 1979 年初次將除錯和測試區分開來。
Although his attention was on breakage testing ("A successful test case is one that detects an as-yet undiscovered error.") it illustrated the desire of the software engineering community to separate fundamental development activities, such as debugging, from that of verification.	儘管當初他是將注意力放在破損測試上 (「能偵測到尚未發現到的錯誤，才稱得上是成功的測試。」)，卻也說明了當時的軟體工程師社群有意將基礎軟體開發活動 (比如除錯) 與驗證區分開來。
There are many approaches available in software testing.	軟體測試有許多方法可以使用。
Reviews, walkthroughs, or inspections are referred to as static testing, whereas executing programmed code with a given set of test cases is referred to as dynamic testing.	審查 (review)、逐步審視 (walkthrough) 或檢查 (inspection) 所指的都是靜態測試，透過既定組合的測試用例來執行程式碼則為動態測試。
Dynamic testing takes place when the program itself is run.	動態測試會在程式執行時進行。
Dynamic testing may begin before the program is 100% complete in order to test particular sections of code and are applied to discrete functions or modules.	動態測試可在程式百分之百編撰完成之前開始進行，藉此測試程式碼的特定區段以及套用到離散函數或模組的情形。
Typical techniques for these are either using stubs/drivers or execution from a debugger environment.	一般而言，用來進行這類測試的技術莫過於使用存根/驅動程式或是在除錯工具的環境中執行。
Static testing involves verification, whereas dynamic testing also involves validation.	靜態測試包含了驗證程序，動態測試則包含了確認程序。
Passive testing means verifying the system behavior without any interaction with the software product.	被動測試即表示是在和軟體產品沒有任何互動的情形下驗證系統行為。
Contrary to active testing, testers do not provide any test data but look at system logs and traces.	與主動測試相反，測試人員不會提供任何測試資料，只會查看系統記錄檔和運行軌跡。
They mine for patterns and specific behavior in order to make some kind of decisions.	他們會探尋其模式及特定行為以便做出某種決策。
This is related to offline runtime verification and log analysis.	這與離線運行時間驗證和記錄檔分析相關。
Exploratory testing is an approach to software testing that is concisely described as simultaneous learning, test design and test execution.	探索式測試為軟體測試的其中一種方式，簡而言之即為同步學習、測試設計和測試執行。
Cem Kaner, who coined the term in 1984, defines exploratory testing as "a style of software testing that emphasizes the personal freedom and responsibility of the individual tester to continually optimize the quality of his/her work by treating test-related learning, test design, test execution, and test result interpretation as mutually supportive activities that run in parallel throughout the project."	Cem Kaner 於 1984 年創出「探索式測試」一詞，將其定義為「強調個別測試人員的個人自由度以及責任的軟體測試類別，藉由在測試專案進行的過程中同步探究與測試相關的學習、測試設計、測試執行及測試結果判讀，彼此相輔相成進而持續提升其軟體作業品質。」
Software testing methods are traditionally divided into white- and black-box testing.	傳統的軟體測試方法分為白箱測試和黑箱測試兩種。
These two approaches are used to describe the point of view that the tester takes when designing test cases.	這兩種方法分別形容了測試人員在設計測試用例時所採取的視角。
A hybrid approach called grey-box testing may also be applied to software testing methodology.	有一種名為灰箱測試的混合方法也會應用在軟體測試中。
With the concept of grey-box testing—which develops tests from specific design elements—gaining prominence, this "arbitrary distinction" between black- and white-box testing has faded somewhat.	隨著灰箱測試的概念 (藉由特定的設計元素發展出測試內容) 漸漸成為主流，將測試「武斷區別」為黑箱和白箱的作法也逐漸不為人所用。
