Nanjing, situated in the lower part of the Yangtze, has historically been the capital of various kingdoms and dynasties, with the reputation as the center of education.	南京位在長江下游，自古以來是多個王國與朝代的首都，也有教育中心的美名。
In 258 CE, the Kingdom of Wu under the reign of Emperor Jing of Wu, founded a Confucian learning institute for the purpose of learning Six Arts.	西元 258 年，東吳景帝在此創設儒學中心，傳授六藝。
In the first year of Jianwu reign (317), Taihsueh (太學) campus was built in today's Fuzimiao (夫子廟) area on the banks of Qinhuai River, and Nanking Imperial University began recruiting students from common families instead of only from noble families.	東晉建武元年 (西元 317 年)，在秦淮河邊建立了太學，即今之夫子廟與國子監處，開始招收平民學生，而非只招收貴族。
Like its forerunner Chengjun (成均) and succeeding Shang Hsiang (上庠) founded by Yu (禹, 21st century BCE) in Chungyuan, the earliest recorded imperial higher learning institutions and their successors, it was the Kingdom's central university, which after Han dynasty excellent students from local schools could be selected to attend to pursue further education.	如同由西元前 21 世紀的禹在中原設立的成均與後來的上庠一樣，這所史上最初的公立高等學府及其後續，是國家的教育中心，自漢代之後選拔各地學校中的優秀學生繼續深造。
In 470 during the Former Song dynasty, the Imperial Central University (Zongmingguan) became a comprehensive institution combining higher education and research, with five divisions: Literature, History, Confucian Study, Xuan Study and Yin Yang Study.	西元 470 年，在北宋時代，太學成為結合高等教育與研究於一身的學府，包括五個分科：文、史、儒、玄、陰陽。
The campus of School of Literature and School of History were located in today's Nanjing University Gulou campus, west to Gulou (鼓樓) mountain, and the campus was moved to today's Chaotian Palace (朝天宮) area at the time when Wang Jian (王儉) was university president and the areas of study were narrowed, with a heavy focus on Confucian classics.	文學館與史學館位於今南京大學鼓樓校區，即鼓樓山西麓，後遷至今朝天宮一帶；當時王儉任國子祭酒，著重儒學研究，因校區過於侷促而搬遷。
In the period the faculty members included such scholars and scientists as Zu Chongzhi (祖沖之), Ge Hong (葛洪), Wang Xizhi (王羲之), and students included such figures as Xiao Daocheng, Emperor Gao of Southern Qi who studied at School of Confucian Studies, and Zhong Rong, a founding scholar of poetics who graduated from division of literature.	當時教學陣容包括多名學者與科學家，如祖沖之、葛洪、王羲之等，學生則包括儒學院生南齊高帝蕭道成、開創詩學研究的文學院生鍾嶸等。
After the fall of Chen dynasty, the school was closed and later replaced by Nanking Academy (or Jiangzhou Academy, Jiangzhou Zhouxue) in Sui dynasty.	當陳朝覆滅後，學院隨之關閉；之後在隋朝以江州國子學之名重新招生。
In 937 when campus of the imperial national university was again in Fuzimiao area, Li Shandao, a scholar of the university, established another national school Lushan National Academy outside the capital city Nanking which is called Bailudong Shuyuan (White Deer Grotto Academy), a famous academy that hosted many renowned scholars including Zhu Xi, Lu Jiuyuan and Wang Yangming.	937 年，國子監校區再度設立於夫子廟地帶，九經教授李善道在南京城外另設蘆山國學，稱為白鹿洞書院，因培育出如朱熹、陸九淵、王陽明等眾多大學者而聞名天下。
In 1382 the Imperial University (國子監 Kuotzuchien or Guozijian) moved campus from Nanking Fuzimiao area to south of Qintian Mountain (欽天山) and Xuanwu Lake (the area around Nanjing University campus before 1952.	1382 年，國子監校區自南京夫子廟地區，移到南邊的欽天山與玄武湖，一直到 1952 年都在該處。
In 1952 Nanjing University moved to Gulou and its engineering school was split and formed several independent colleges including Nanjing Institute of Technology, which at its peak spanning 10 Li and hosting near 10,000 students, and around there were institutes including Qintian Jian (Imperial Astronomy Institute) and Taiyi Yuan (Imperial Medical Institute).	1952 年，南京大學遷往鼓樓區，工學院分為多所學院，包括南京工學院，校區廣達 10 里，有近一萬名學生，附近尚有欽天監與太醫院等機構。
In 1403 Peking Guozijian (Beijing Guozijian, Imperial University of Peking) was established.	1403 年北京國子監成立。
