There were varying degrees of Romanization throughout Roman Dacia.	Havia vários graus de romanização na Dácia Romana.
The most Romanized segment was the region along the Danube, which was predominately under imperial administration, albeit in a form that was partially barbarized.	O segmento mais romanizado era a região ao longo do Danúbio, a qual se encontrava predominantemente sob administração imperial, ainda que numa forma parcialmente barbarizada.
The population beyond this zone, having lived with the Roman legions before their withdrawal, were substantially Romanized.	A população que vivia para além desta zona era substancialmente romanizada, por ter vivido com as legiões romanas antes da sua retirada.
The final zone, consisting of the northern portions of Maramures, Crisana, and Moldavia, stood at the edges of Roman Dacia.	A zona final, que consistia nas regiões a norte de Maramurés, Crisana e Moldávia, permaneceu na fronteira da Dácia Romana.
Although its people did not have Roman legions stationed among them, they were still nominally under the control of Rome, politically, socially, and economically.	Embora as legiões romanas não estivessem estacionadas entre o povo, este permanecia nominalmente sob o controlo de Roma ao nível político, social e económico.
These were the areas in which resided the Carpi, often referred to as the Free Dacians.	Era nestas áreas que viviam os Carpi, frequentemente referidos como os "dacianos livres".
In an attempt to fill the cities, cultivate the fields, and mine the ore, a large-scale attempt at colonization took place with colonists coming in "from all over the Roman world".	Numa tentativa de encher as cidades, cultivar os campos e extrair os minerais, ocorreu uma tentativa de colonização em larga escala, com colonizadores que chegavam "de todo o mundo romano".
The colonists were a heterogeneous mix: of the some 3,000 names preserved in inscriptions found by the 1990s, 74% (c. 2,200) were Latin, 14% (c. 420) were Greek, 4% (c. 120) were Illyrian, 2.3% (c. 70) were Celtic, 2% (c. 60) were Thraco-Dacian, and another 2% (c. 60) were Semites from Syria.	Os colonizadores constituíam uma mistura heterogénea: entre os cerca de 3000 nomes preservados em inscrições encontradas nos anos 90, 74% (aprox. 2200) eram latinos, 14% (aprox. 420) eram gregos, 4% (aprox. 120) eram ilíricos, 2,3% (aprox. 70) eram celtas, 2% (aprox. 60) eram trácio-danianos e 2% (aprox. 60) eram semitas da Síria.
Regardless of their place of origin, the settlers and colonists were a physical manifestation of Roman civilisation and imperial culture, bringing with them the most effective Romanizing mechanism: the use of Latin as the new lingua franca.	Independentemente da sua origem, os colonos e os colonizadores eram uma manifestação física da civilização romana e da cultura imperial, trazendo com eles o mecanismo de romanização mais eficaz: o uso do latim como a nova língua franca.
The first settlement at Sarmizegethusa was made up of Roman citizens who had retired from the legions.	A primeira colónia em Sarmizegetusa era constituída por cidadãos romanos reformados das legiões.
Based upon the location of names scattered throughout the province, it has been argued that, although places of origin are hardly ever noted in epigraphs, a large percentage of colonists originated from Noricum and western Pannonia.	Com base na localização dos nomes espalhados pela província, afirmou-se que, embora os locais de origem quase nunca estejam indicados nas epígrafes, uma grande percentagem de colonizadores era originária de Nórica e da Panónia Ocidental.
Specialist miners (the Pirusti tribesmen) were brought in from Dalmatia.	Mineiros especializados (a tribo Pirusti) foram trazidos da Dalmácia.
